aX,aY,aZ,gX,gY,gZ
"
1.349",-0.800,-0.040,39.917,27.405,42.908
"
1.219",-0.811,-0.059,24.109,10.681,40.466
"
1.040",-0.785,-0.050,3.052,12.085,35.278
"
0.869",-0.694,-0.037,-21.606,32.532,28.564
"
0.679",-0.563,-0.023,-45.776,59.204,25.024
"
0.521",-0.391,-0.001,-62.805,82.031,30.579
"
0.440",-0.108,0.034,-67.444,97.107,46.021
"
0.432",0.212,0.104,-52.002,88.989,71.045
"
0.447",0.590,0.163,-17.639,42.786,105.652
"
0.462",0.942,0.189,29.419,-35.339,143.799
"
0.466",1.154,0.109,77.576,-123.535,173.035
"
0.427",1.176,-0.064,104.980,-191.772,178.284
"
0.279",1.222,-0.203,91.003,-220.337,149.231
"
0.078",1.394,-0.284,35.034,-203.186,98.083
"

0.797",2.233,0.073,-243.896,171.814,36.133
"
1.016",2.211,0.104,-220.825,172.852,40.527
"
1.092",2.092,0.164,-174.622,112.732,36.804
"
1.022",1.829,0.208,-119.202,27.039,40.283
"
0.894",1.584,0.260,-66.895,-65.857,49.377
"
0.765",1.418,0.305,-29.968,-131.531,61.035
"
0.738",1.286,0.349,-7.446,-149.658,68.176
"
0.776",1.182,0.338,4.639,-132.141,64.453
"
0.848",1.091,0.295,9.155,-96.985,52.185
"
0.910",1.043,0.235,10.254,-59.265,36.438
"
0.955",0.996,0.149,13.611,-28.076,20.447
"
0.954",0.959,0.037,19.592,-7.629,5.371
"
0.913",0.924,-0.083,26.794,0.671,-4.150
"
0.864",0.864,-0.195,33.508,3.845,-8.667
"
0.819",0.792,-0.260,36.682,4.639,-11.108
"
0.792",0.751,-0.265,34.180,5.371,-14.526
"
0.771",0.755,-0.237,29.663,6.409,-20.874
"
0.747",0.737,-0.204,27.710,6.592,-27.405
"
0.760",0.729,-0.178,27.893,7.935,-30.579
"
0.792",0.747,-0.171,29.785,11.414,-31.250
"
0.822",0.750,-0.191,34.180,15.442,-31.555
