aX,aY,aZ,gX,gY,gZ
"
-0.001",0.028,1.784,121.399,-35.706,18.311
"
-0.184",0.017,1.834,139.221,-57.373,21.240
"
-0.365",0.016,1.874,153.870,-57.800,24.597
"
-0.469",0.010,1.869,168.762,-37.842,30.396
"
-0.482",-0.012,1.780,184.021,-7.141,38.513
"
-0.427",-0.034,1.686,196.777,22.217,46.753
"
-0.378",-0.041,1.608,206.360,43.762,53.101
"
-0.340",-0.057,1.534,216.980,52.856,59.937
"
-0.298",-0.065,1.459,228.821,52.917,68.298
"
-0.266",-0.072,1.396,238.708,50.354,74.463
"
-0.248",-0.088,1.337,245.483,51.270,76.172
"
-0.248",-0.078,1.300,249.451,56.458,76.965
"
-0.243",-0.057,1.241,254.517,65.430,79.590
"
-0.208",-0.043,1.160,263.733,75.806,83.618
"
-0.188",-0.036,1.088,273.865,81.604,87.769
"
-0.209",-0.035,1.037,281.616,85.388,89.905
"
-0.230",-0.038,0.980,288.452,90.027,92.224
"
-0.225",-0.042,0.921,294.983,94.971,97.595
"
-0.197",-0.026,0.847,299.622,103.394,102.600
"
-0.149",-0.027,0.758,304.626,115.051,104.797
"
-0.105",-0.050,0.668,306.519,125.305,103.882
"
-0.084",-0.046,0.597,304.443,134.094,100.098
"
-0.050",-0.010,0.549,301.331,142.639,96.741
"
-0.039",0.059,0.529,302.307,144.714,94.604
"
0.013",0.107,0.449,310.608,141.113,93.323
"
0.023",0.090,0.401,323.242,130.676,91.919
"
-0.072",0.094,0.314,333.740,116.577,89.966
"
-0.139",0.036,0.187,341.125,110.474,90.759
"
-0.173",-0.012,0.072,338.440,117.188,92.468
"
-0.195",-0.016,-0.035,324.951,134.338,94.177
"
-0.167",0.013,-0.117,306.946,157.837,95.032
"
-0.085",0.074,-0.203,289.185,183.228,93.872
"
-0.029",0.152,-0.299,275.574,202.148,89.905
"
0.002",0.229,-0.413,268.433,213.684,86.609
"
0.049",0.250,-0.545,264.648,222.168,84.534
"
0.102",0.240,-0.712,259.521,229.614,80.627
