aX,aY,aZ,gX,gY,gZ
"
-0.985",0.417,-1.120,2.502,-67.627,228.394
"
-0.938",0.480,-1.041,-9.094,-65.247,237.793
"
-0.877",0.562,-0.979,-19.165,-53.894,246.765
"
-0.807",0.603,-0.931,-21.423,-39.368,255.615
"

-1.289",-0.228,-1.148,-23.560,-193.298,258.545
"
-1.808",0.460,-0.536,-109.985,-268.616,263.062
"
-1.878",0.808,-0.102,-143.616,-256.714,280.334
"
-1.638",0.747,-0.090,-106.201,-167.419,312.988
"
-1.297",0.920,-0.134,-72.815,-94.421,366.638
"
-0.951",1.289,-0.062,-59.631,-46.875,407.837
"
-0.492",1.590,-0.004,-39.856,-10.376,425.171
"
0.152",1.785,0.188,-15.259,3.540,420.410
"
0.461",1.994,-0.303,6.104,-34.241,408.020
"
0.744",2.112,-0.251,30.151,-41.077,401.001
"
0.853",2.252,-0.281,38.879,-88.623,389.404
"
0.912",2.516,-0.354,38.391,-145.386,374.573
"
1.114",2.661,-0.419,38.940,-168.274,363.159
"
1.355",2.596,-0.411,43.579,-157.410,351.013
"
1.586",2.387,-0.530,51.331,-133.789,331.970
"
1.790",2.081,-0.567,55.664,-102.417,307.251
"
1.883",1.809,-0.596,51.514,-77.820,281.494
"
1.995",1.618,-0.609,41.382,-49.438,251.953
"
2.114",1.476,-0.575,31.494,-25.513,217.224
"
2.089",1.285,-0.671,26.611,-29.541,178.833
"
1.966",1.078,-0.749,27.466,-40.588,137.329
"
1.779",0.927,-0.854,25.330,-46.082,100.647
"
1.568",0.842,-0.957,19.653,-44.861,70.679
"
1.468",0.766,-0.990,14.893,-30.945,48.096
"
1.411",0.699,-0.975,9.277,-19.470,27.832
"
1.313",0.658,-0.947,2.869,-15.991,6.042
"
1.175",0.607,-0.867,-2.197,-14.038,-14.282
"
1.044",0.594,-0.782,-6.958,-15.137,-31.494
"
0.943",0.591,-0.711,-10.437,-13.855,-44.922
"
0.858",0.596,-0.654,-10.864,-7.751,-54.932
"
0.815",0.590,-0.619,-9.583,4.333,-63.416
"
0.817",0.594,-0.583,-10.315,22.705,-72.510
"
0.794",0.630,-0.587,-11.963,43.945,-82.336
"
0.782",0.660,-0.636,-10.620,66.528,-91.919
"
0.805",0.670,-0.724,-7.996,86.121,-99.854
"
0.839",0.690,-0.826,-6.714,99.243,-107.605
"
0.868",0.721,-0.903,-6.531,104.980,-116.882
"
0.886",0.757,-0.977,-7.019,102.112,-127.441
"
0.904",0.781,-1.036,-10.132,94.666,-139.832
"
0.898",0.810,-1.051,-16.785,87.341,-153.809
"
0.908",0.878,-1.018,-25.635,81.848,-168.030
"
0.921",0.948,-0.953,-33.508,79.346,-181.824
"
0.914",1.003,-0.871,-39.917,81.299,-195.312
"
0.894",1.054,-0.789,-43.823,86.670,-208.130
"
0.873",1.096,-0.717,-44.983,93.323,-219.238
"
0.838",1.121,-0.662,-44.983,100.891,-229.248
"
0.790",1.119,-0.602,-44.128,110.596,-238.525
"
0.771",1.118,-0.566,-41.443,119.934,-246.521
"
0.736",1.125,-0.564,-38.147,127.441,-253.357
"
0.687",1.107,-0.582,-31.677,130.798,-259.338
"
0.638",1.073,-0.630,-23.376,128.967,-263.367
"
0.612",1.034,-0.672,-19.348,126.648,-268.250
"
0.520",0.986,-0.698,-20.935,128.357,-276.855
"
0.500",0.989,-0.612,-24.231,131.348,-285.156
"
0.434",1.018,-0.603,-23.499,120.728,-289.978
"
0.290",1.021,-0.618,-15.015,106.384,-295.288
"
0.125",0.954,-0.645,-6.287,101.318,-301.758
"
-0.087",0.851,-0.662,-4.456,103.516,-308.228
"
-0.299",0.795,-0.645,-7.996,110.901,-311.340
"
-0.404",0.816,-0.637,-13.123,123.230,-309.753
"
-0.450",0.867,-0.665,-15.686,135.925,-305.725
"
-0.492",0.889,-0.722,-13.733,139.893,-302.124
"
-0.569",0.843,-0.790,-12.329,135.193,-300.354
"
-0.675",0.787,-0.812,-16.418,125.183,-299.377
"
-0.781",0.789,-0.779,-23.376,108.459,-297.180
"
-0.908",0.791,-0.712,-27.405,86.182,-295.593
"
-1.052",0.787,-0.614,-26.917,61.035,-294.006
"
-1.208",0.782,-0.518,-22.888,38.269,-291.382
"
-1.372",0.752,-0.469,-16.907,24.109,-285.217
"
-1.484",0.660,-0.443,-9.094,20.752,-271.851
"
-1.522",0.557,-0.472,-2.380,27.649,-253.601
"
-1.517",0.504,-0.527,2.808,43.701,-233.765
"
-1.486",0.456,-0.644,5.066,60.120,-218.262
"
-1.432",0.400,-0.783,5.859,64.941,-207.703
"
-1.368",0.358,-0.866,7.080,53.345,-194.580
"
-1.344",0.316,-0.924,7.446,29.785,-183.167
"
-0.999",0.310,-0.921,5.066,3.723,-177.429
"
-1.607",0.204,-0.900,4.089,-18.188,-162.598
"
-1.614",0.258,-0.945,2.563,-31.799,-140.686
"
-4.000",-0.019,-1.078,1.892,-35.950,-117.310
"
-2.765",-0.092,-0.971,-8.362,-34.180,-100.220
"
-1.671",-0.077,-1.129,-15.015,-14.893,-42.053
"
-0.842",0.284,-1.257,-12.512,27.466,27.222
"
-0.461",0.405,-1.224,2.380,46.753,57.007
"
-0.339",0.228,-1.105,10.803,23.376,63.538
"
-0.321",0.177,-1.036,4.272,-14.465,59.937
"
-0.321",0.239,-0.930,-10.620,-44.067,50.354
"
-0.259",0.302,-0.793,-18.005,-57.617,43.152
"
-0.231",0.286,-0.735,-16.235,-50.415,36.987
"
-0.243",0.223,-0.758,-9.399,-36.011,32.349
"
-0.257",0.153,-0.797,-2.686,-22.766,30.640
"
-0.294",0.124,-0.840,0.671,-12.268,32.532
"
-0.336",0.099,-0.872,2.441,-6.226,34.058
"
-0.427",0.080,-0.895,3.845,-5.493,32.837
"
-0.574",0.060,-0.918,4.456,-10.254,30.701
"
-0.761",0.033,-0.931,4.578,-21.118,32.043
"
-0.986",0.031,-0.942,4.150,-33.691,37.964
"
-1.176",0.075,-0.963,2.869,-41.992,47.913
"
-1.321",0.143,-0.985,2.014,-41.321,62.256
"
-1.399",0.192,-1.014,2.625,-33.325,78.857
"
-1.406",0.208,-1.059,4.822,-23.987,97.412
"
-1.399",0.242,-1.095,6.226,-19.470,120.667
"
-1.338",0.283,-1.101,6.287,-18.860,144.775
"
-1.256",0.322,-1.090,4.761,-21.423,166.687
"
-1.177",0.364,-1.063,2.380,-24.719,183.105
"
-1.099",0.389,-1.037,-0.488,-27.466,194.458
"
-1.031",0.418,-1.016,-1.953,-33.630,205.505
"
-0.983",0.452,-0.990,-2.136,-41.931,216.553
"
-0.923",0.478,-0.962,-1.221,-50.293,226.562
"
-0.872",0.497,-0.922,1.526,-58.411,236.816
"
-0.806",0.514,-0.891,5.615,-66.284,245.911
"
-0.762",0.503,-0.862,11.292,-73.669,253.601
"
-0.729",0.501,-0.826,18.372,-80.994,261.963
"
-0.740",0.500,-0.795,26.123,-87.585,271.301
"
-0.764",0.467,-0.787,35.278,-90.271,280.823
"
-0.787",0.393,-0.815,43.152,-87.708,290.588
"
-0.823",0.279,-0.870,47.180,-82.153,299.438
"
-0.707",0.437,-0.787,42.786,-74.036,307.678
"
-0.656",0.539,-0.672,27.344,-71.350,313.232
"

0.352",1.856,-0.367,10.803,-111.511,300.781
"
0.601",1.887,-0.182,18.188,-102.844,305.115
"
0.856",1.961,0.050,27.222,-105.347,302.979
"
1.033",1.984,0.237,39.185,-104.248,291.748
